Revenue & Margin,Others,-,-,-,Diabetes Group,-,-,-,Diabetes Group,-,-,-,Diabetes Group,-,-,-,Diabetes Group,-
Capital Structure,netCommonStockIssuance ($k),"59,000","-212,000","-28,000","-166,000","-13,000","-145,000","-2,403,000","-1,550,000","-75,000","-154,000","-75,000","2,000","-15,000","-31,000","-293,000","-1,321,000","-324,000"
Capital Structure,netDebtIssuance ($k),"-1,229,000","732,000","-513,000",0,"-1,003,000","557,000","2,585,000","63,000","-311,000","821,000","500,000","-3,854,000","-496,000","3,779,000","-27,000",0,0
Liquidity & Cash Flow,DSO,49.5,66.4,67.1,67.8,67.4,67.4,67.3,67.2,66.9,67.5,67.4,66.7,66.3,65.0,64.0,63.1,62.7
Liquidity & Cash Flow,DIO,70.7,117.4,118.2,172.4,171.9,172.8,177.8,182.0,183.7,182.3,180.2,174.8,175.4,171.6,165.8,159.8,156.1
Liquidity & Cash Flow,DPO,68.6,68.7,70.5,73.7,74.1,71.8,71.3,71.7,74.2,76.6,78.4,78.7,78.3,78.0,75.8,72.3,70.4
Liquidity & Cash Flow,CCC,51.6,115.1,114.7,166.4,165.2,168.4,173.8,177.5,176.4,173.1,169.2,162.7,163.4,158.5,154.1,150.6,148.4
Liquidity & Cash Flow,OCF ($k),"7,285,000","7,113,000","7,146,000","7,044,000","7,293,000","7,195,000","6,898,000","6,787,000","6,470,000","5,570,000","5,831,000","6,039,000","5,636,000","6,290,000","7,137,000","7,346,000","7,034,000"
Liquidity & Cash Flow,CapEx ($k),"-1,875,000","-1,907,000","-1,843,000","-1,859,000","-1,826,000","-1,696,000","-1,753,000","-1,587,000","-1,539,000","-1,525,000","-1,387,000","-1,459,000","-1,470,000","-1,468,000","-1,416,000","-1,368,000","-1,356,000"
Liquidity & Cash Flow,FCF ($k),"5,410,000","5,206,000","5,303,000","5,185,000","5,467,000","5,499,000","5,145,000","5,200,000","4,931,000","4,045,000","4,444,000","4,580,000","4,166,000","4,822,000","5,721,000","5,978,000","5,678,000"
BQR,Total Debt / Adj Ebitda,3.0x,3.1x,3.1x,3.1x,3.1x,3.3x,3.4x,3.1x,2.8x,2.9x,2.8x,2.8x,3.2x,3.0x,2.6x,2.8x,2.9x
BQR,Adj Ebitda / Interest Expense,16.6x,13.8x,13.2x,12.6x,11.4x,11.1x,11.2x,11.4x,12.6x,12.9x,14.2x,13.6x,14.7x,15.8x,15.5x,15.8x,15.8x
BQR,Net Income before extraordinary ($k),"4,614,000","4,765,000","4,661,000","4,663,000","4,260,000","4,288,000","3,927,000","3,676,000","4,201,000","4,101,000","3,619,000","3,757,000","4,063,000","4,321,000","5,205,000","5,039,000","4,915,000"
BQR,(NCO-CAPEX) / Total Debt,19.27%,17.89%,18.54%,18.18%,20.55%,19.41%,18.46%,20.78%,19.58%,16.13%,17.79%,18.80%,14.81%,18.12%,24.65%,24.79%,22.57%
BQR,Score: Operating Leverage,45,45,45,45,45,48,48,45,45,45,45,45,45,45,45,45,45
BQR,Score: ICR,25,35,35,35,42,42,42,42,35,35,35,35,35,25,25,25,25
BQR,Score: Net Income,15,15,15,15,15,15,25,25,15,15,25,25,15,15,15,15,15
BQR,Score: FCF/Debt,48,48,48,48,45,48,48,45,48,52,48,48,55,48,42,42,45
BQR,BQR,35.2,36.8,36.8,36.8,37.0,38.8,41.3,39.5,36.8,37.8,39.2,39.2,38.5,35.2,33.8,33.8,34.5
