index,LTM (Current),LTM (-1Q),FY 2025,FY 2024,FY 2023
Statement Date,2025-09-30,2025-06-30,2025-06-30,2024-06-30,2023-06-30
DSO,8.4,8.3,4.3,3.8,4.0
DIO,68.3,68.0,62.5,61.2,63.6
DPO,28.5,27.3,27.3,22.1,15.9
Cash,7747.0,46502.0,46502.0,159437.0,126807.0
Debt,374620.0,271326.0,271326.0,309490.0,329480.0
Revenue,1658768.0,1685658.0,1685658.0,1831421.0,2017853.0
Op Income,1145000.0,1145000.0,1145000.0,1145000.0,1145000.0
EBITDA,-147078.0,-143641.0,-144301.0,65153.0,20961.0
Net Income,-218760.0,-199993.0,-199993.0,-6105.0,-44702.0
Adj. EBITDA,-3255.0,182.0,-478.0,84915.0,85547.0
D & A,53482.0,53618.0,53618.0,53752.0,53673.0
Net Int Inc,-13008.0,-12058.0,-12058.0,-10623.0,-10946.0
Tax Provision,1501.0,-13364.0,-13364.0,203.0,-2060.0
Adj. Net Income,-71246.0,-52130.0,-52790.0,20337.0,22988.0
CapEx,-36040.0,-41463.0,-41463.0,-38632.0,-44646.0
OCF,11904.0,-26363.0,-26363.0,94999.0,115351.0
BQR's FCF,-24136.0,-67826.0,-67826.0,56367.0,70705.0
