index,LTM (Current),LTM (-1Q),FY 2024,FY 2023,FY 2022
Statement Date,2025-09-30,2025-06-30,2024-12-31,2023-12-31,2022-12-31
DSO,40.0,40.4,40.1,37.2,34.5
DIO,234.4,238.9,252.4,224.6,160.8
DPO,41.6,43.8,45.7,45.0,49.6
Cash,3311000.0,3044000.0,3200000.0,2964000.0,3050000.0
Debt,14046000.0,14043000.0,13596000.0,11223000.0,8735000.0
Revenue,17266000.0,16675000.0,15641000.0,17519000.0,20028000.0
Op Income,8065000.0,7845000.0,7300000.0,9194000.0,12067000.0
EBITDA,8106000.0,7951000.0,7541000.0,9009000.0,11225000.0
Net Income,5043000.0,5041000.0,4799000.0,6510000.0,8749000.0
Adj. EBITDA,8191000.0,7951000.0,7417000.0,9009000.0,11482000.0
D & A,1877000.0,1762000.0,1580000.0,1238000.0,979000.0
Net Int Inc,-532000.0,-522000.0,-508000.0,-353000.0,-214000.0
Tax Provision,654000.0,626000.0,654000.0,908000.0,1283000.0
Adj. Net Income,5128000.0,5041000.0,4675000.0,6510000.0,9006000.0
CapEx,-4817000.0,-4936000.0,-4820000.0,-5071000.0,-2797000.0
OCF,6897000.0,6439000.0,6318000.0,6420000.0,8720000.0
BQR's FCF,2080000.0,1503000.0,1498000.0,1349000.0,5923000.0
COGS,7341000000.0,6999000000.0,6547000000.0,6500000000.0,6257000000.0
AR,1893750000.0,1843750000.0,1719000000.0,1787000000.0,1895000000.0
INV,4713750000.0,4580500000.0,4527000000.0,3999000000.0,2757000000.0
AP,836500000.0,840250000.0,820000000.0,802000000.0,851000000.0
