,index,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q)
0,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3
1,Statement Date,2025-09-30,2025-06-29,2025-03-30,2024-12-29,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-02
2,Filing Date,2025-11-18,2025-08-07,2025-05-08,2025-02-06,2024-11-15,2024-08-08,2024-05-09,2024-02-08,2024-01-25,2023-08-11
3,DSO,83.50235849056604,86.59974729748701,85.55505291908501,86.14370919981157,84.23953201970443,80.68906100723352,74.53869202258478,64.56403575372723,57.225477095967385,50.242826643894105
4,DIO,102.88025434696978,103.19660656288498,97.49849471782801,91.94065253824945,89.21795805025343,88.74041709108454,93.27538023324556,96.13898393499092,104.27394689281542,118.00642532151538
5,DPO,68.31811659445164,73.78996808153208,74.5224150199792,74.18594907282262,75.02810579100614,74.56347504422881,79.22032030956092,82.07251675323722,78.05673273724008,80.09202076011955
6,FCF,165300000,75100000,75900000,53000000,118600000,-477800000,-642100000,-407200000,-468700000,125900000
7,CCC,118.06449624308418,116.00638577883991,108.53113261693383,103.89841266523841,98.42938427895172,94.86600305408923,88.59375194626944,78.63050293548092,83.44269125154273,88.15723120528993
8,Sale,2809000000,2849200000,2929000000,2971800000,2963800000,2930800000,2886900000,2897600000,2918700000,2927500000
9,Rev-CoGS / Sale (%),36.73549305802777,37.32275726519725,37.62717651075452,37.758260986607446,37.424927457993114,36.355261362085436,35.54678028334892,33.39660408614026,31.681913180525576,31.41929974380871
10,Rev-CoGS-SG&A / Sale (%),6.571733713065147,6.931770321493753,7.401843632639126,7.86392085604684,7.206964032660773,6.568172512624539,5.7951435796182755,4.113749344284925,2.384623325453113,2.227156310845431
11,Op. Income / Sale (%),4.478462086151655,4.123964621648182,4.5715261181290545,6.403526482266639,5.7561238949996625,5.623038078340385,-0.263258166199037,-5.539066813914964,-7.04765820399493,-7.016225448334756
12,Net Profit / Sale (%),3.556425774296903,2.558612943984276,2.01775349948788,4.014402045898109,4.2141844928807615,3.859014603521223,68.10765873428245,63.89425731639978,61.71925857402268,61.46541417591802
13,Net Income,99900000,72900000,59100000,119300000,124900000,113100000,1966200000,1851400000,1801400000,1799400000
14,D & A,98000000,99600000,99800000,100700000,101700000,99800000,97100000,94100000,91200000,90300000
15,Net Int Inc,-25800000,-22000000,-16500000,-8800000,-1000000,12100000,-10500000,-42500000,-80000000,-116600000
16,Tax Provision,-13000000,26900000,47800000,63700000,64300000,36800000,28300000,-32000000,-56500000,-25500000
17,EBITDA,210700000,221400000,223200000,292500000,291900000,237600000,2102100000,1956000000,1916100000,1980800000
18,Stock-Based Comp,20500000,19300000,19000000,18300000,17500000,17600000,17900000,17800000,17200000,11300000
19,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
20,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
21,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
22,netCommonStockIssuance,-39200000,-54400000,-159900000,-72900000,100000,-142200000,-97500000,-243000000,-34700000,-500000000
23,netDebtIssuance,-2600000,16900000,80500000,-2600000,-2600000,-833800000,-3800000,-174100000,-505700000,-1119400000
24,Cash,123600000,122000000,96000000,179900000,368900000,157700000,745700000,445400000,753900000,2930200000
25,Debt,654200000,759900000,715800000,637800000,647800000,652700000,1484700000,1487500000,1678000000,2177100000
26,OCF,203600000,113200000,114100000,94500000,162600000,-432100000,-588100000,-349800000,-409700000,188900000
27,CapEx,-38300000,-38100000,-38200000,-41500000,-44000000,-45700000,-54000000,-57400000,-59000000,-63000000
28,Total Debt / Adj Ebitda,3.104888467014713,3.432249322493225,3.206989247311828,2.1805128205128206,2.2192531688934567,2.747053872053872,0.7062937062937062,0.760480572597137,0.8757371744689735,1.0991013731825525
29,Adj Ebitda / Interest Expense,8.166666666666666,10.063636363636364,13.527272727272727,33.23863636363637,291.9,-999.0,200.2,46.023529411764706,23.95125,16.987993138936535
30,Net Income before extraordinary,99900000,72900000,59100000,119300000,124900000,113100000,1966200000,1851400000,1801400000,1799400000
31,(NCO-CAPEX) / Total Debt (%),25.267502292876795,9.882879326227135,10.6035205364627,8.309814989024773,18.30811979005866,-73.2036157499617,-43.24779416717182,-27.374789915966385,-27.93206197854589,5.782922236002021
32,Score: Operating Leverage,45,48,45,42,42,45,25,25,25,35
33,Score: ICR,45,42,35,15,15,75,15,15,25,25
34,Score: Net Income,42,45,45,42,42,42,25,25,25,25
35,Score: FCF/Debt,42,58,58,58,48,75,75,75,75,65
36,BQR,43.5,48.849999999999994,46.75,41.95,39.45,56.25,36.0,36.0,37.5,38.5
