,index,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q)
0,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2
1,Statement Date,2025-09-27,2025-06-28,2025-03-29,2024-12-31,2024-09-28,2024-06-29,2024-03-30,2023-12-31,2023-09-30,2023-07-01
2,Filing Date,2025-11-06,2025-08-07,2025-05-08,2025-02-24,2024-11-07,2024-08-08,2024-05-09,2024-02-26,2023-11-09,2023-08-10
3,DSO,27.990925018265454,27.4451653402854,26.95704028088608,26.49241163184549,25.649781961992673,25.48568972391251,24.92485687655356,24.802454523476936,24.985710491292544,23.03084813830139
4,DIO,154.23637260291693,162.75324997627033,164.7429829714562,169.3262915330118,176.12753028081906,176.95400771173138,172.639136168124,171.84615150790955,159.2097154138918,164.52151722608653
5,DPO,70.24494227597582,71.762608695079,73.46570571889775,73.92058358520667,79.32455166279877,85.16708182624718,82.5023329755873,78.38098352682708,65.10752637254679,56.56356874900245
6,FCF,231246000,215950000,200718000,171009000,149314000,135141000,151270000,220015000,217147000,153383000
7,CCC,111.98235534520656,118.43580662147673,118.23431753344452,121.89811957965064,122.45276058001295,117.27261560939671,115.06166006909025,118.26762250455941,119.08789953263754,130.98879661538547
8,Sale,1831326000,1822000000,1839607000,1829873000,1803126000,1758247000,1697311000,1658713000,1586916000,1586911000
9,Rev-CoGS / Sale (%),57.78605229216426,58.36750823271131,58.17508848357285,58.10698338081386,58.3471704140476,58.33065547673336,57.510320736741825,56.862519314673484,50.09679151259424,48.27933009475642
10,Rev-CoGS-SG&A / Sale (%),12.043295404532017,12.943688254665203,13.113126879817266,13.409455191699097,14.47619301147008,14.40446080670122,13.914774605243235,13.59234539067337,5.265811170849623,5.6810999482642695
11,Op. Income / Sale (%),12.043295404532017,12.943688254665203,13.113126879817266,13.409455191699097,14.47619301147008,14.40446080670122,13.914774605243235,13.59234539067337,5.265811170849623,5.6810999482642695
12,Net Profit / Sale (%),8.753984817558425,9.725466520307355,9.59134206382124,9.601158113158673,11.154406292183685,10.664087582688895,10.320795658544604,10.241976761501236,4.004874864202012,4.1853008769868
13,Net Income,160314000,177198000,176443000,175689000,201128000,187501000,175176000,169885000,63554000,66417000
14,D & A,52574000,50870000,49810000,48132000,47691000,46796000,46506000,46572000,45872000,44693000
15,Net Int Inc,716000,1152000,309000,660000,1163000,494000,311000,-942000,-2855000,-4065000
16,Tax Provision,53366000,57459000,57385000,57159000,65622000,62729000,58635000,56061000,20857000,20125000
17,EBITDA,265538000,284375000,283329000,280320000,313278000,296532000,280006000,273460000,133138000,135300000
18,Stock-Based Comp,47109000,44711000,42366000,40719000,33902000,33012000,24184000,22462000,17496000,14353000
19,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
20,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
21,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
22,netCommonStockIssuance,-149924000,-22984000,0,-100000000,289000,0,-100000000,0,0,894000
23,netDebtIssuance,-3658000,-9330000,-4929000,-1678000,-1770000,-2959000,-1641000,-1605000,-1398000,-526000
24,Cash,164483000,269673000,259042000,358795000,280464000,212937000,173911000,438960000,281360000,223136000
25,Debt,222530000,176983000,183115000,172503000,178044000,176892000,174847000,176113000,159619000,156317000
26,OCF,307419000,289999000,284764000,261386000,206979000,209447000,226132000,283118000,285054000,201415000
27,CapEx,-80590000,-45046000,-44996000,-46739000,-47937000,-47240000,-54918000,-54356000,-56103000,-50780000
28,Total Debt / Adj Ebitda,0.838034480940581,0.6223578021978022,0.6462981198535978,0.615378852739726,0.5683258958496926,0.5965359556472826,0.624440190567345,0.6440174065676881,1.1988988868692634,1.1553362897265336
29,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,290.29723991507433,46.633274956217164,33.284132841328415
30,Net Income before extraordinary,160314000,177198000,176443000,175689000,201128000,187501000,175176000,169885000,63554000,66417000
31,(NCO-CAPEX) / Total Debt (%),103.91677526625624,122.01736889983783,109.6130846735658,99.13392810559816,83.86353934982364,76.39746285869344,86.51563938757886,124.92831307172099,136.0408222078825,98.1230448383733
32,Score: Operating Leverage,25,25,25,25,25,25,25,25,35,35
33,Score: ICR,75,75,75,75,75,75,75,15,15,15
34,Score: Net Income,42,42,42,42,35,42,42,42,45,45
35,Score: FCF/Debt,15,15,15,15,15,15,15,15,15,15
36,BQR,34.25,34.25,34.25,34.25,32.5,34.25,34.25,25.25,29.5,29.5
