,index,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q)
0,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2
1,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
2,Filing Date,2025-10-31,2025-08-01,2025-04-30,2025-02-14,2024-10-25,2024-07-26,2024-04-26,2024-02-21,2023-10-27,2023-07-28
3,DSO,47.71258269018743,46.65506286332297,45.93545697131421,46.20268398839357,49.19379945518225,51.8407490396927,53.165330159127926,55.08883560801672,54.31026732198514,56.110314767142526
4,DIO,113.59538236523193,115.45076069078948,115.77758690379952,115.75735001986492,114.22901459854015,112.98671947809879,112.98006600071352,118.18295847750865,124.19377711044378,131.92075150137964
5,DPO,71.07814458838278,72.6585629111842,75.00277890056589,73.50392332141438,73.0385612754514,71.50326188257223,67.35506600071352,66.17993079584775,64.71534034034035,68.18941730238598
6,FCF,-20000000,-104000000,-8000000,237000000,359000000,463000000,779000000,646000000,674000000,141000000
7,CCC,90.22982046703656,89.44726064292824,86.71026497454784,88.4561106868441,90.38425277827099,93.32420663521926,98.79033015912793,107.0918632896776,113.78870409208857,119.8416489661362
8,Sale,7256000000,7397000000,7495000000,7582000000,7709000000,7810000000,7981000000,8133000000,8342000000,8546000000
9,Rev-CoGS / Sale (%),34.04079382579934,34.24361227524672,33.982655103402266,33.60590873120549,32.468543261123365,31.306017925736235,29.758175667209624,28.9315135866224,28.14672740350036,27.90779311958811
10,Rev-CoGS-SG&A / Sale (%),7.883131201764058,7.94916858185751,7.871914609739827,7.913479293062516,5.720586327668959,5.352112676056338,4.911665204861547,4.328046231402927,4.159673939103333,4.891177158904751
11,Op. Income / Sale (%),4.410143329658214,1.0815195349466,0.9606404269513009,0.883671854391981,0.6226488519911791,0.12804097311139565,-0.41348201979701793,-1.0451248001967293,-3.979860944617598,-1.5562836414696934
12,Net Profit / Sale (%),-0.33076074972436603,-3.2851155874002975,-3.2555036691127417,-2.8488525455025058,-3.2170190686210924,-3.4314980793854035,-3.6962786618218266,-4.770687323250953,-6.8808439223207865,-3.9433653171074186
13,Net Income,-24000000,-243000000,-244000000,-216000000,-248000000,-268000000,-295000000,-388000000,-574000000,-337000000
14,D & A,309000000,313000000,313000000,323000000,339000000,339000000,338000000,334000000,314000000,308000000
15,Net Int Inc,-309000000,-301000000,-297000000,-295000000,-293000000,-287000000,-285000000,-283000000,-277000000,-265000000
16,Tax Provision,3000000,-25000000,-11000000,-44000000,-97000000,-170000000,-192000000,-155000000,-154000000,-134000000
17,EBITDA,597000000,346000000,355000000,358000000,287000000,188000000,136000000,74000000,-137000000,102000000
18,Stock-Based Comp,71000000,74000000,74000000,74000000,67000000,63000000,55000000,50000000,36000000,9000000
19,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
20,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
21,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
22,netCommonStockIssuance,0,0,0,0,0,-11000000,0,0,0,0
23,netDebtIssuance,-305000000,145000000,310000000,-344000000,-115000000,54000000,100000000,-244000000,-222000000,-256000000
24,Cash,229000000,219000000,233000000,198000000,494000000,382000000,372000000,332000000,396000000,317000000
25,Debt,5327000000,5634000000,5464000000,5123000000,5499000000,5573000000,5531000000,5472000000,5690000000,5957000000
26,OCF,253000000,161000000,251000000,496000000,597000000,717000000,1039000000,930000000,974000000,455000000
27,CapEx,-273000000,-265000000,-259000000,-259000000,-238000000,-254000000,-260000000,-284000000,-300000000,-314000000
28,Total Debt / Adj Ebitda,8.922948073701843,16.283236994219653,15.391549295774649,14.310055865921788,19.1602787456446,29.643617021276597,40.669117647058826,73.94594594594595,999.0,58.40196078431372
29,Adj Ebitda / Interest Expense,1.9320388349514563,1.149501661129568,1.1952861952861953,1.2135593220338983,0.9795221843003413,0.6550522648083623,0.47719298245614034,0.26148409893992935,-999.0,0.3849056603773585
30,Net Income before extraordinary,-24000000,-243000000,-244000000,-216000000,-248000000,-268000000,-295000000,-388000000,-574000000,-337000000
31,(NCO-CAPEX) / Total Debt (%),-0.3754458419373005,-1.845935392261271,-0.14641288433382138,4.62619558852235,6.5284597199490815,8.30791315270052,14.084252395588502,11.805555555555555,11.845342706502636,2.366963236528454
32,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75
33,Score: ICR,65,75,75,75,75,75,75,75,75,75
34,Score: Net Income,75,75,75,75,75,75,75,75,75,75
35,Score: FCF/Debt,75,75,75,75,65,58,55,58,58,75
36,BQR,73.5,75.0,75.0,75.0,72.5,70.75,70.0,70.75,70.75,75.0
