index,LTM (Current),LTM (-1Q),FY 2025,FY 2024,FY 2023
Statement Date,2025-10-31,2025-07-31,2025-10-31,2024-10-31,2023-10-31
DSO,34.5,32.6,40.8,31.3,32.1
DIO,37.1,36.1,40.2,33.7,62.2
DPO,27.4,28.9,27.7,31.8,39.7
Cash,16178000.0,10718000.0,16178000.0,9348000.0,14189000.0
Debt,65136000.0,64229000.0,65136000.0,67566000.0,39229000.0
Revenue,63887000.0,59926000.0,63887000.0,51574000.0,35819000.0
Op Income,39083000.0,35933000.0,39083000.0,27550000.0,23098000.0
EBITDA,34714000.0,32141000.0,34714000.0,23879000.0,20554000.0
Net Income,23126000.0,18813000.0,23126000.0,6168000.0,14082000.0
Adj. EBITDA,35322000.0,32916000.0,35322000.0,25424000.0,20787000.0
D & A,8775000.0,9153000.0,8775000.0,10010000.0,3835000.0
Net Int Inc,-2863000.0,-2904000.0,-2863000.0,-3492000.0,-1087000.0
Tax Provision,-397000.0,810000.0,-397000.0,3748000.0,1015000.0
Adj. Net Income,24081000.0,20049000.0,24081000.0,8174000.0,14850000.0
CapEx,-623000.0,-508000.0,-623000.0,-548000.0,-452000.0
OCF,27537000.0,25438000.0,27537000.0,19962000.0,18085000.0
BQR's FCF,26914000.0,24930000.0,26914000.0,19414000.0,17633000.0
COGS,20593000000.0,19879000000.0,20593000000.0,19065000000.0,11129000000.0
AR,6039250000.0,5357000000.0,7145000000.0,4416000000.0,3154000000.0
INV,2093750000.0,1966250000.0,2270000000.0,1760000000.0,1898000000.0
AP,1548500000.0,1574000000.0,1560000000.0,1662000000.0,1210000000.0
