index,LTM (Current),LTM (-1Q),FY 2024,FY 2023,FY 2022
Statement Date,2025-09-30,2025-06-30,2024-12-31,2023-12-31,2022-12-31
DSO,32.3,31.9,29.9,24.6,26.5
DIO,159.1,155.6,156.5,136.1,114.4
DPO,61.2,61.4,67.6,74.2,76.0
Cash,3130000.0,2868000.0,3031000.0,3648000.0,3618000.0
Debt,12235000.0,10728000.0,10854000.0,11175000.0,11165000.0
Revenue,12045000.0,12122000.0,12614000.0,13276000.0,13205000.0
Op Income,5419000.0,5519000.0,5955000.0,6394000.0,6451000.0
EBITDA,3926000.0,4034000.0,4422000.0,4896000.0,5040000.0
Net Income,2105000.0,2188000.0,2542000.0,2822000.0,2833000.0
Adj. EBITDA,3936000.0,4044000.0,4432000.0,4907000.0,5056000.0
D & A,876000.0,893000.0,925000.0,1106000.0,1250000.0
Net Int Inc,-367000.0,-351000.0,-318000.0,-309000.0,-416000.0
Tax Provision,471000.0,496000.0,545000.0,523000.0,529000.0
Adj. Net Income,2222000.0,2304000.0,2644000.0,2969000.0,2861000.0
CapEx,-550000.0,-662000.0,-876000.0,-1006000.0,-1227000.0
OCF,2320000.0,2514000.0,2782000.0,3513000.0,3895000.0
BQR's FCF,1770000.0,1852000.0,1906000.0,2507000.0,2668000.0
COGS,5458000000.0,5456000000.0,5495000000.0,5723000000.0,5688000000.0
AR,1064500000.0,1058250000.0,1032000000.0,894000000.0,960000000.0
INV,2379750000.0,2325250000.0,2356000000.0,2134000000.0,1782000000.0
AP,914500000.0,917750000.0,1017000000.0,1164000000.0,1185000000.0
