index,LTM (Current),LTM (-1Q),FY 2024,FY 2023,FY 2022
Statement Date,2025-09-30,2025-06-30,2024-12-31,2023-12-31,2022-12-31
DSO,66.4,67.2,83.4,78.8,79.3
DIO,186.9,187.7,169.0,173.5,192.4
DPO,47.7,53.6,58.1,46.3,56.1
Cash,12125.0,12045.0,2929.0,16189.0,23598.0
Debt,257025.0,237722.0,250418.0,285055.0,343729.0
Revenue,659066.0,670991.0,682952.0,686683.0,727662.0
Op Income,19600.0,21216.0,27084.0,32797.0,30823.0
EBITDA,8628.0,10638.0,34780.0,51774.0,45770.0
Net Income,-36171.0,-34638.0,-15165.0,-8412.0,-6166.0
Adj. EBITDA,42206.0,44832.0,49398.0,52368.0,45219.0
D & A,22606.0,23616.0,22314.0,19571.0,19536.0
Net Int Inc,-20585.0,-21406.0,-22208.0,-21728.0,-17205.0
Tax Provision,1608.0,254.0,3331.0,6222.0,5728.0
Adj. Net Income,-2593.0,-444.0,1545.0,4847.0,2750.0
CapEx,-3844.0,-3875.0,-2227.0,-2801.0,-2975.0
OCF,24176.0,23696.0,18569.0,56431.0,24319.0
BQR's FCF,20332.0,19821.0,16342.0,53630.0,21344.0
