index,LTM (Current),LTM (-1Q),FY 2025,FY 2024,FY 2023
Statement Date,2025-10-31,2025-07-31,2025-01-31,2024-01-31,2023-01-31
DSO,12.9,13.7,10.0,9.4,7.6
DIO,170.2,175.7,150.0,127.7,134.0
DPO,49.0,51.7,69.4,63.5,55.1
Cash,7253.0,7798.0,5347.0,13639.0,16689.0
Debt,577698.0,566138.0,586327.0,463841.0,511800.0
Revenue,1288160.0,1338867.0,1386269.0,1602508.0,1708482.0
Op Income,1145000.0,1145000.0,1145000.0,1145000.0,1145000.0
EBITDA,22845.0,50373.0,25958.0,-36525.0,50026.0
Net Income,-51698.0,-27298.0,-57819.0,-154541.0,-1138.0
Adj. EBITDA,22845.0,50373.0,53958.0,-1982.0,53282.0
D & A,32340.0,34272.0,39612.0,47186.0,51464.0
Net Int Inc,-33418.0,-35375.0,-35747.0,-30000.0,-13232.0
Tax Provision,8743.0,7975.0,8371.0,40743.0,-13624.0
Adj. Net Income,-51656.0,-27249.0,-29772.0,-119911.0,2210.0
CapEx,-14489.0,-8289.0,-15830.0,-27559.0,-45577.0
OCF,54128.0,3657.0,-117594.0,92800.0,-8218.0
BQR's FCF,39639.0,-4632.0,-133424.0,65241.0,-53795.0
