index,LTM (Current),LTM (-1Q),FY 2025,FY 2024,FY 2023
Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-03-31,2023-03-31
DSO,65.6,71.8,56.7,54.6,56.2
DIO,231.7,244.1,244.2,182.0,176.4
DPO,32.5,34.2,30.3,29.5,52.9
Cash,236800.0,566500.0,771700.0,319700.0,234000.0
Debt,5412700.0,5494500.0,5666100.0,6032400.0,6471400.0
Revenue,4212400.0,4235800.0,4401600.0,7634400.0,8438700.0
Op Income,1635300.0,1681200.0,1850200.0,4261500.0,4900200.0
EBITDA,765000.0,841400.0,1040400.0,3436400.0,4102500.0
Net Income,-185100.0,-148400.0,-500.0,1906900.0,2237700.0
Adj. EBITDA,870300.0,941900.0,1121300.0,3436300.0,4106800.0
D & A,717600.0,732500.0,750100.0,879500.0,998400.0
Net Int Inc,-239100.0,-243500.0,-250000.0,-190700.0,-201800.0
Tax Provision,-13300.0,9700.0,39400.0,459000.0,672000.0
Adj. Net Income,-73100.0,-43800.0,81800.0,1907100.0,2234600.0
CapEx,-86700.0,-71000.0,-126000.0,-285100.0,-486200.0
OCF,841100.0,796600.0,898100.0,2892700.0,3621000.0
BQR's FCF,754400.0,725600.0,772100.0,2607600.0,3134800.0
COGS,1935300000.0,1928100000.0,1933700000.0,2638700000.0,2740800000.0
AR,757375000.0,833275000.0,684100000.0,1141700000.0,1300400000.0
INV,1228550000.0,1289625000.0,1293500000.0,1316000000.0,1324900000.0
AP,172100000.0,180650000.0,160600000.0,213000000.0,396900000.0
