index,LTM (Current),LTM (-1Q),FY 2024,FY 2023,FY 2022
Statement Date,2025-09-30,2025-06-30,2024-12-31,2023-12-31,2022-12-31
DSO,24.3,24.5,22.4,22.0,23.5
DIO,136.3,134.6,128.3,150.9,146.0
DPO,60.2,62.8,60.5,59.6,70.4
Cash,184190.0,338183.0,412926.0,351213.0,211748.0
Debt,1178425.0,1124337.0,1130194.0,1081533.0,1180797.0
Revenue,2832688.0,2833316.0,2844102.0,2945594.0,3212733.0
Op Income,1145000.0,1145000.0,1145000.0,1145000.0,1145000.0
EBITDA,199513.0,256279.0,320066.0,400354.0,424793.0
Net Income,89095.0,135822.0,185509.0,232500.0,250038.0
Adj. EBITDA,199513.0,256279.0,350066.0,400354.0,453733.0
D & A,54833.0,55495.0,57926.0,64139.0,65276.0
Net Int Inc,-18622.0,-19033.0,-20292.0,-29197.0,-41520.0
Tax Provision,24561.0,33730.0,45300.0,69742.0,66698.0
Adj. Net Income,101497.0,148021.0,226548.0,237276.0,280239.0
CapEx,-59190.0,-58396.0,-56165.0,-59860.0,-40364.0
OCF,151158.0,198758.0,298787.0,529132.0,88361.0
BQR's FCF,91968.0,140362.0,242622.0,469272.0,47997.0
