Category,Metric,ADTN,ALNT,AMEH,AMOT,APPS,ASTH,AZZ,BJRI,BV,CATO,CMCO,CRNC,CULP,CZR,ESLT,EVC,EXTR,FOXF,FSTR,GBX,GRC,GTLS,HELE,HI,HZO,ITRI,LPRO,MEC,MEI,MMI,MODV,MRCY,OMCL,ONEW,PAHC,PENN,RDUS,SCHN,SHYF,SMTC,SPTN,TBI,TTEC,TUP,VSEC,WWW,ZIP,ZUMZ
Header,Fiscal Period,2025-Q4,0.0-0,2025-Q4,2025-Q4,2026-Q3,2025-Q4,2026-Q3,2025-Q4,2026-Q1,2025-Q3,2025-Q3,2026-Q1,2025-Q2,2025-Q4,2025-Q3,2025-Q4,2026-Q2,2025-Q4,2025-Q4,2026-Q1,2025-Q4,2025-Q4,2026-Q3,2026-Q1,2026-Q1,2025-Q4,2025-Q3,2025-Q4,2026-Q3,2025-Q4,2025-Q3,2026-Q2,2025-Q4,2026-Q1,2026-Q2,2025-Q4,2025-Q3,2025-Q3,2025-Q1,2026-Q3,2025.0-Q2,2025-Q4,2025-Q4,2023-Q3,2025-Q4,2025-Q4,2025-Q4,2025.0-Q3
Header,Statement Date,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-11-30,2025-12-31,2025-12-31,2025-11-30,2025-12-31,2025-12-31,2025-11-30,2025-12-31,2025-09-30,2025-12-31,2025-12-31,2026-01-31,2025-12-31,2025-11-30,2025-12-31,2025-12-31,2025-11-30,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2025-12-31,2026-01-31,2025-12-31,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-05-31,2025-05-31,2025-03-31,2025-10-31,2025-07-31,2025-12-31,2025-12-31,2023-09-30,2025-12-31,2026-01-31,2025-12-31,2025-11-30
Header,Filing Date,2026-02-26,0,2026-01-12,2026-03-05,2026-02-03,2026-01-12,2026-01-07,2026-03-02,2026-02-03,2025-11-25,2026-02-09,2026-02-05,2025-12-12,2026-02-17,2025-11-18,2026-03-05,2026-01-29,2026-02-27,2026-03-05,2026-01-08,2026-03-02,2026-02-27,2026-01-08,2026-02-09,2026-01-29,2026-02-17,2025-11-06,2026-03-04,2026-03-05,2026-02-26,2025-12-29,2026-02-03,2026-02-26,2026-02-09,2026-02-04,2026-02-26,2025-07-01,2025-07-01,2025-04-24,2025-11-25,2025-08-14,2026-02-18,2026-02-26,2024-03-29,2026-02-27,2026-02-27,2026-02-25,2025-12-04
Revenue & Margin,Segment-1,Optical Networking Solutions,Industrial,Health Care Capitation Revenue,Industrial,On Device Media,Health Care Capitation Revenue,Precoat Metals,-,Landscape Maintenance,ReportableSegmentsMemberRetail,Hoists,License,Mattress Fabrics,Casino,Product,Digital Advertising,Product,Specialty Sports Group,Product,Manufacturing,-,"Repair, Service And Leasing Segment",Beauty & Wellness,Process Equipment Group,Retail Operations,Product,Program Fee,Fabrication,Industrial,Real Estate Brokerage Commissions,Other Service Revenue,C4I Applications,"Connected Devices, Software Licenses, And Other",New Sales,Vaccines,Casino,Product,Ferrous Scrap Metal,-,IoT Systems And Connectivity,Center Store,PeopleReady,TTEC Engage,Beauty,Product,Active Group,License,UNITED STATES
Revenue & Margin,Segment-1 %,3509.0%,5079.1%,9126.3%,5079.1%,10000.0%,9126.3%,5784.4%,-,8885.4%,9970.5%,4980.3%,5585.2%,5341.8%,6439.3%,9058.9%,6776.7%,6179.1%,3470.0%,8914.5%,10000.0%,-,3057.5%,5249.0%,7739.5%,9430.2%,8486.7%,23742.9%,5017.0%,4566.4%,8376.0%,10000.0%,4365.7%,4772.6%,6185.7%,10000.0%,7685.7%,9521.7%,5070.1%,-,3570.3%,5281.5%,5469.6%,7804.3%,10000.0%,6328.7%,7511.1%,7688.0%,7581.6%
Revenue & Margin,Segment-2,Subscriber Solutions And Experience,Vehicle,"Health Care, Other",Vehicle,-,"Health Care, Other",Metal Coatings,-,Snow Removal,ReportableSegmentsMemberCredit,High Precision Conveyors,Professional Services,Upholstery Fabrics,"Hotel, Owned",Service,Broadcast Advertising,Subscription And Support,Powered Vehicles Group,Service,Leasing and Management Services,-,Heat Transfer Systems Segment,Home & Outdoor,Milacron,Product Manufacturing,Service,Administrative Service,Performance Structures,Automotive,Financing Fees,Private Pay and Other Contracts,Radar End User Applications,Technical Services,Pre-Owned,Mineral Nutrition,"Product and Service, Other",License,Nonferrous Scrap Metal,-,Advanced Protection And Sensing Products Group,Fresh,PeopleManagement,TTEC Digital,-,Service,Work Group,Service,Europe
Revenue & Margin,Segment-2 %,3405.4%,1835.9%,423.8%,1835.9%,-,423.8%,4215.6%,-,1114.6%,29.5%,1606.0%,2295.6%,4658.2%,1892.8%,941.1%,2316.5%,3820.9%,3326.8%,1085.5%,661.8%,-,2902.7%,4751.0%,2260.5%,569.8%,1513.3%,4207.0%,2992.4%,4524.8%,1376.1%,1754.1%,1861.1%,2194.9%,1943.6%,2754.1%,1309.9%,478.3%,2697.8%,-,3551.1%,4586.7%,3369.1%,2195.7%,-,3671.3%,2252.6%,2312.0%,1630.5%
Revenue & Margin,Segment-3,Access & Aggregation Solutions,Medical,"Health Care, Patient Service",Medical,-,"Health Care, Patient Service",-,-,-,-,Digital Power Control and Delivery Systems,Connected Services,-,Food and Beverage,-,Retransmission Consent,-,Aftermarket Applications Group,-,Maintenance Services,-,Specialty Products Segment,Beauty Segment,Batesville Segment,-,Outcomes Segment,Profit Share,Tubes,Corporate And Intersegment Elimination,Other Revenues,-,Other End User Applications,Hardware And Software,"Service, Parts & Other",Performance Products,Food and Beverage,-,Steel Products,-,Signal Integrity,Other Product,PeopleScout,-,-,-,Other Segments,-,CANADA
Revenue & Margin,Segment-3 %,3085.6%,1545.8%,306.4%,1545.8%,-,306.4%,-,-,-,-,1146.2%,2119.2%,-,1668.0%,-,658.2%,-,3203.2%,-,141.0%,-,2576.0%,2610.6%,2127.2%,-,1323.2%,-17950.0%,1266.9%,460.0%,247.9%,-,1626.8%,2186.7%,1577.2%,803.3%,640.6%,-,1605.7%,-,2878.6%,131.8%,1161.3%,-,-,-,236.4%,-,515.2%
Revenue & Margin,Others,-,Aerospace & Defense,"Product and Service, Other, Management Service",Aerospace & Defense,-,"Product and Service, Other, Management Service",-,-,-,-,"Actuators and Rotary Unions, Chain And Forged Attachments, Industrial Cranes, Elevator Application Drive Systems",-,-,-,-,"Spectrum Usage Rights, Other Product Or Services",-,-,-,-,-,Cryo Tank Solutions Segment,-,-,-,-,-,"Tank, Outdoor Sports",Interface,-,-,"Other Sensor And Effector Applications, Electronic Warfare End User Applications",Consumables,Finance And Insurance Income,-,Occupancy,-,Retailand Other,-,IoT Connected Services Group,-,-,-,-,-,Other Segments,-,AUSTRALIA
