Row Labels,Count of Symbol,Average of Performance % 1 week,Average of Performance % 1 month,Average of Performance % 6 months,Average of Performance % 1 year
Multi-line insurance,46,-2.555477801,-3.083273573,12.36525533,20.05858275
Office equipment/Supplies,3,-7.00234848,-6.621374922,1.259351241,-7.358474273
Oil & gas pipelines,20,-2.432862875,-4.463092502,15.60769157,29.41235854
Oil & gas production,19,-6.846890597,-8.487934205,-10.01597578,3.129324365
Oil refining/Marketing,10,-8.362632685,-12.80520096,-23.94747292,-24.87637561
Oilfield services/Equipment,13,-7.752855802,-5.612713532,-1.251348527,7.843514145
Other consumer services,27,-3.253563132,-0.723571923,19.44889529,21.34325612
Other consumer specialties,1,-6.427884343,-1.289321316,-11.74147409,1.01398815
Other metals/Minerals,14,-7.717584753,-10.45828624,1.912982149,8.03636742
Other transportation,10,-2.803845871,-2.780379967,2.335372311,6.339972146
Packaged software,169,-3.120647663,4.029382554,33.37421336,39.00597919
Personnel services,6,-4.636414983,-1.076038307,11.48156215,1.918899632
Pharmaceuticals: generic,1,31.40987507,30.78744819,29.86478542,110.5815062
Pharmaceuticals: major,93,-1.623163334,-1.741733768,15.23684126,30.53962465
Pharmaceuticals: other,3,-0.656449761,-8.159543263,29.16432442,52.4111984
Precious metals,27,-7.252769452,-7.155395017,0.058546119,12.42551064
Property/Casualty insurance,45,-2.646891944,-3.134276608,10.80279373,19.23595344
Publishing: books/magazines,3,-3.392812978,-6.670791114,18.51228659,33.0186046
Publishing: newspapers,3,-3.523405903,-1.807013271,6.627126558,19.35255776
Pulp & paper,3,-5.158376537,-6.177090373,15.78455611,32.16190434
Railroads,6,-4.158310524,-4.619361057,-1.090070698,-0.711667424
Real estate development,19,-6.33036931,-3.311595313,15.03966171,3.373546463
Real estate investment trusts,225,-3.062597365,-3.23920447,5.297481742,2.18765775
Recreational products,10,-6.650021521,-3.659334203,2.017355893,-4.312696415
Regional banks,127,-4.281616354,-4.015605515,19.98129558,14.59442392
Restaurants,25,-3.22396439,1.983824863,12.36101757,29.13689733
Savings banks,16,-5.456408964,-5.965681791,16.69379687,-0.681875555
Semiconductors,52,-4.741390479,6.778466934,2.256667214,14.05661809
Services to the health industry,3,-4.530849456,-6.344004679,-4.926640329,-2.523091093
Specialty insurance,7,-4.314303543,-4.91333999,10.10975747,13.59621171
Specialty stores,35,-4.88653993,4.083438179,17.7898636,24.32134186
Specialty telecommunications,9,-4.045667527,-3.841795694,21.5648776,44.28127911
Steel,15,-9.841378785,-14.38594861,-12.65410235,-24.62856379
Telecommunications equipment,15,-2.201530148,7.495025495,52.50387724,41.10025529
Textiles,1,-0.78220484,-1.968361309,-3.928994083,-15.49031855
Tobacco,5,-2.861200285,-2.636313998,31.13186771,42.88785872
Tools & hardware,2,-2.000496218,-4.333243572,12.72250924,2.002845485
Trucking,13,-9.041157363,-7.148472525,5.704673983,5.490958598
Trucks/Construction/Farm machinery,19,-5.013852331,-1.569434695,4.171423216,5.855473785
Water utilities,8,-5.487477969,-9.267987021,11.06399037,25.52677522
Wholesale distributors,24,-5.820415487,-3.340804106,7.042199443,11.79012273
Wireless telecommunications,26,-2.910855617,-3.621005014,9.823604485,13.83291411
Grand Total,2861,-3.669508297,9.276363822,24.7272771,31.37321615
