Header,Statement Date,2025-12-31,2025-12-31,2024-09-30,2025-12-31,2025-12-31,2022-06-30,2025-12-31,2025-12-31,2025-12-31,2021-03-31,2025-12-31,2025-12-31,2025-12-31,2017-11-30,2021-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2022-06-30,2022-06-30,2025-12-31,2022-09-30,2025-12-31,2023-03-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2024-03-31,2024-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31
Header,Filing Date,2026-02-04,2025-12-31,2024-10-23,2026-02-25,2026-02-11,2022-08-09,2026-01-30,2026-02-12,2026-02-03,2021-05-07,2026-02-19,2026-02-04,2026-02-19,2017-11-30,2021-10-28,2026-02-27,2026-02-27,2026-02-11,2026-02-13,2026-02-17,2026-02-18,2026-02-25,2025-11-06,2022-08-08,2022-08-08,2026-02-12,2022-11-08,2026-02-19,2023-04-28,2026-02-27,2026-03-02,2026-02-26,2026-02-12,2025-11-21,2024-04-29,2024-11-12,2026-02-12,2026-02-20,2026-02-25,2026-02-05,2026-02-27,2025-11-05,2025-11-05,2026-02-18,2026-02-04,2026-02-05,2026-02-19,2026-02-24,2026-02-13,2026-02-20,2026-03-02,2026-02-04,2026-02-09
Revenue & Margin,Segment-1,Pharmaceutical Distribution,-,"Electricity, US Regulated",Retirement Services Segment,"Natural Gas, Production",Subscription And Circulation,Commercial Airplanes Segment,Medical Products And Therapies,Shakes and other beverages,Property Tax Solutions,Commercial Segment,-,Natural gas and Oil Sales,North America,Waste And Service,Refined Product,Wholesale Marketing and Terminalling,U S Dialysis And Related Lab Services,Screening,Urban Solutions Segment,Product Sales,"E-Commerce, Omnichannel and Consumer Technology",Shipping and Handling,Subscriber revenue,Patient Care Centers,Global Records and Information Management Business,Campaign-based loyalty programs,Concerts,Timing of revenue recognition,Recurring Revenue,Passenger ticket,Recurring revenue,Oil and Gas Service,Cargo Sales,Product and Service,Other Revenue,Alcoholic Beverages,Chlor Alkali Products and Vinyls Segment,Electric Service,Cereal and Granola,"Product and Service, Other",Home,Home,Reportable Segment,Other Segments,Advertising Revenue,Sales revenue,Service,Product And Service Revenue,Product,Natural Gas,Service,-
Capital Structure,O/S Shares,194219000.0,86449000,387010149,607913669,309719000,87989000,768083097,514000000,119300000,73228000,140986478,194219000,291097000,53378000,133000000,182835000,53487965,86100000,189738000,169229000,122464318,114495000,354183000.0,39991000.0,39250735.0,298011697,24612000,235421446,100700000,73700000,455256819,138400000.0,158872000,281121646,126533909,141954687,152946000,113900000,119687000,51700000,373512000,0,0,209643777,57900000,1710465000,136658561,114767000,127078342,86000000,37645048,71800000,5025000
Capital Structure,Market Capitalization,36361681180.0,4635395380,13851093232,88001582724,10672916740,6212023399,166766202020,9822540000,3188889000,5803319000,270694037,65597467250,6747628460,1475901700,2675960000,8425036800,2386632998,9781821000,19269791280,6706545270,1910443360,6027016800,2334065970.0,305131330.0,562070525.0,24720070266,29780520,33547556055,1049294000,2808707000,10161332200,2177032000.0,4486545280,621278837,2912810585,4734188811,2257482960,2372537000,10616236900,5120885000,6106921200,0,0,2893084122,3354147000,13803452550,7162275182,4705447000,2072647758,4410940000,725043624,5619068000,705459749
Capital Structure,Cash,1753122000.0,113400000,148000000,20591000000,210000000,1460594000.0,10921000000,1966000000,64099999,227102000,233000000,1808693000,23930000,96894000.0,54000000,978000000,10892000,757747000,955996000,2135000000,6437000,854000000,217573000.0,28894000.0,24380000.0,158535000,73307000.0,7106986000,1506400000,456000000.0,209893000,231000000.0,471399000,145237000,5374000,138027000,759000000,167600000,6604000,279300000,376900000,1328000000,1328000000,542426000,8300000,1030435000,891000000,765952000,473966000,0,1328000.0,1042000000,9448000
Capital Structure,Debt,7921735000.0,1709367000,14917000000,13364000000,5136861000,1018725000.0,54098000000,9780000000,1184600000,1772215000,789000000,7921735000,2951387000,0.0,2484000000,3232000000,35177000,15049989000,2522699000,1070000000,3040415000,7898000000,2665372000.0,248887000.0,628214000.0,19051536000,714821000.0,12441360000,829000000,225000000.0,14606176000,1326000000.0,1975791000,9307086000,3399412000,1248008000,4999000000,3392000000,17847997000,7459100000,5725200000,467000000,467000000,220257000,2528500000,4700954000,16110000000,1954052000,157737000,529233000,129300000.0,1751000000,826621000
Capital Structure,Enterprise Value,42530294180.0,6231362380,28620093232,80774582724,15599777740,5770154399,209943202020,17636540000,4309389001,7348432000,826694037,71710509250,9675085460,1379007700,5105960000,10679036800,2410917998,24074063000,20836494280,5641545270,4944421360,13071016800,4781864970.0,525124330.0,1165904525.0,43613071266,671294520,38881930055,371894000,2577707000,24557615200,3272032000.0,5990937280,9783127837,6306848585,5844169811,6497482960,5596937000,28457629900,12300685000,11455221200,-861000000,-861000000,2570915122,5874347000,17473971550,22381275182,5893547000,1756418758,4940173000,853015624,6328068000,1522632749
Capital Structure,netCommonStockIssuance,0.0,0,0,-240000000,-83000,0,0,5000000,-96900000,0,-7000000,7598000,0,1353000,0,-138000000,0,-753405000,12413000,-389000000,0,-1000000,0.0,0.0,0.0,9609000,0.0,-23504000,0,-24000000,-318000,0.0,3000,0,0,0,-10000000,-9900000,75194000,-376200000,-118164334,0,0,2674000,-7600000,-249919000,0,-67432000,2242000,0,0,-7000000,-14843821
Capital Structure,netDebtIssuance,0.0,-750000,934000000,71000000,82495000,0,-2873000000,14000000,100000000,0,-28000000,266212000,-320000000,0,0,-78000000,50129000,4582999,0,0,-52201000,556000000,-26839000.0,0.0,0.0,194810000,0.0,827517000,0,-124000000,17445000,0.0,18525000,0,0,-11886000,-126000000,-167000000,81305000,55000000,-26274576,0,0,3077999,413900000,0,-358000000,-2643000,0,12000000,10366000,-126000000,92647102
Liquidity & Cash Flow,DSO,27.864788658465116,90.05320789595747,62.75137583123137,121.8694511370012,32.519695935413054,51.52572514162081,50.31433385869018,57.84685165421558,38.501130978026715,60.34909188537408,78.32141683103222,27.864788658465116,40.45199409712656,40.74711417143164,45.759587020648965,18.067289441363652,66.68870143083696,78.29453860418063,34.786928432178726,56.11309984520124,122.20346813541339,54.61982091364395,44.04108313213959,109.53839118306124,47.08059057318512,72.90527460695763,132.94215193456716,32.60313849155877,205.7006529850746,51.26263206247128,10.033339168943929,71.04391514700409,87.38891760876659,101.44319765679951,31.259231234217392,33.43073745758101,43.991985683162156,56.32744292708825,53.94920545908858,30.659039243838237,28.391018907563026,37.789971867307464,37.789971867307464,62.7835081494202,47.76001253432017,76.03958212051798,19.404339113527243,68.11850986478734,49.78270262576168,132.99070240649127,56.293979707288585,92.43747458316388,277.7172335543081
Liquidity & Cash Flow,DIO,24.332830494400337,34.07573559489429,30.562924888078264,0.0,0.0,0.0,368.70598632904256,107.27240940877303,89.79403542936114,0.0,0.0,24.232189419753816,0.0,26.520569161557706,1.3771325459317585,30.831153424990877,7.101097292156064,5.772309306111793,62.95648865003565,0.0,14.253867295253634,0.0,173.63251611186126,0.0,80.83320761869396,0.0,129.0927782599833,0.3752013163326415,0.0,41.03894624962041,9.87021699851556,38.5801266439357,0.0,26.36495954778597,5.704905212075621,3.186229632029959,67.93131816472358,51.52566766996321,56.00390157529094,48.47193604387047,18.77287322007689,-128.70114006514657,-128.70114006514657,0.0,108.78032170190686,0.0,23.117567626432024,19.377679285660264,120.16174940434901,84.10562015503876,0.0,120.21825396825396,0.0
Liquidity & Cash Flow,DPO,61.632428672871484,57.116313236347295,110.34426297463106,318.0430738408701,7.000683981717535,28.436259007890996,50.4916523771493,45.36395422759059,33.51584584458823,100.89819356907398,20.448795180722893,61.37751571253421,168.44577261801462,42.04650139042486,17.483595800524935,31.24193940868719,118.86803598309437,24.600126625380067,56.06477898193602,33.55878776241679,124.59441811506346,22.83426576459363,106.86008481219619,52.62210124753578,59.041197009667776,80.81394870237833,59.169785933626606,64.8212466314036,56.02081558773425,63.23489219556635,11.233118283688555,61.60375060886508,43.31844909151368,174.7040045237764,24.67519892086401,88.72932632299013,75.70421210981571,48.89685155988725,65.18574758261732,33.932279836459216,63.45227228796633,-108.0223359702187,-108.0223359702187,16.260045721200008,46.20697669390755,23.907642650842014,25.466687720520973,45.512160632733696,26.05648882588895,100.20994832041345,71.68882522473066,94.45719954648526,66.34381925182207
