Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Motorparts,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185.5%,-,-,-
Liquidity & Cash Flow,DIO,7.685546211258318,6.17992751747409,6.8839671996798115,6.8305532599712935,7.450431442304054,7.474163885630109,7.668009454410578,7.639687640142351,8.124049865330788,7.819691498554892,4.149590643782036,4.1695809680506,3.6564008553240073,3.7050503421993954,0.47689324749896816,0.2515704601911498,0.16409969451993345,0.16602187421803322,0.24830791541916167
Liquidity & Cash Flow,DPO,22.22778010910617,17.873299590262715,18.64321551773428,18.498559455212153,15.809805850963176,15.86016606489971,14.948731459193807,14.893518277930792,15.963087621749265,15.365048545451906,7.622065340884453,7.658784036977713,11.95166685025011,12.110687286623664,1.5588195722420237,0.8223076321598489,0.0,0.0,0.0
Liquidity & Cash Flow,CCC,-4.636479748003701,-1.9648021208896225,-3.4814839857767623,-3.4369602684342198,1.55656741490737,1.6926729432770369,3.356240413117762,2.6701913009996865,4.965758003389093,4.773252340373723,4.703904908786206,5.746836854364379,-1.041802276214069,-0.10268243535653276,-0.024691687062040835,-0.01884014158973335,0.46227040598216534,0.46700180475369635,0.6963287820645087
Liquidity & Cash Flow,OCF,87805000.0,147462000.0,232726000.0,307684000.0,312083000.0,296999000.0,355231000.0,395279000.0,503172000.0,467182000.0,372955000.0,282233000.0,98773000.0,42190000.0,65921000.0,-8363000.0,449000000.0,983000000.0,731000000.0
Liquidity & Cash Flow,CapEx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82000000.0,-160000000.0,-253000000.0,-354000000.0,-373000000.0,-385000000.0,-387000000.0,-372000000.0,-367000000.0,-352000000.0
Liquidity & Cash Flow,FCF,-562217000.0,-502560000.0,-417296000.0,-342338000.0,312083000.0,296999000.0,355231000.0,395279000.0,503172000.0,385182000.0,212955000.0,29233000.0,-255227000.0,-330810000.0,-319079000.0,-395363000.0,77000000.0,616000000.0,379000000.0
BQR,Total Debt / Adj Ebitda,0.0,9.015849420659375,6.599926521772759,5.6428441197450026,4.884240585400678,4.6536335082226525,4.018654593436391,3.0051255208538534,2.598120223094402,2.587921254044332,2.6514779773951385,4.221793301067212,8.415305099823213,7.1730406548325005,5.048483037818314,2.7588914305558703,1.495414822674845,1.4921567386880095,1.5933452741056595
BQR,Adj Ebitda / Interest Expense,2.420838435076672,2.18174593799332,2.6206281480880906,3.161945121519525,3.6271873474956924,4.304223855677703,4.654387487181799,6.016287417039144,7.072315558802045,7.800012707287629,8.767504783544606,8.187014278904938,4.804923576356012,6.781106826197304,11.075098520336084,17.255691255495847,29.585758039816234,40.64852121731676,57.732271165260855
BQR,Net Income before extraordinary,121844000.0,110043000.0,159909000.0,176232000.0,188722000.0,193411000.0,177666000.0,300182000.0,369556000.0,389681000.0,375265000.0,204235000.0,1192000.0,-75170000.0,-131395000.0,-71915000.0,196992000.0,222000000.0,232000000.0
BQR,(NCO-CAPEX) / Total Debt (%),999.0,-27.437136876678107,-24.451763702171966,-19.405507990349907,17.544422807080664,16.075262793543676,21.401456160063137,24.677345143461466,32.2626810548791,24.247807554564837,13.693789743691969,1.752776543625147,-17.075740829450663,-22.416793384128738,-21.216304183763505,-27.047052867775832,5.552542920435665,43.53181532616707,25.742753143298835
BQR,Score: Operating Leverage,15,75,75,65,58,55,52,45,45,45,45,52,75,75,58,45,35,35,35
BQR,Score: ICR,65,65,58,58,58,55,52,48,48,45,45,45,52,48,42,25,25,15,15
BQR,Score: Net Income,42,42,42,42,42,42,42,35,35,35,35,35,58,75,75,75,42,35,35
BQR,Score: FCF/Debt,15,75,75,75,48,52,45,42,35,42,55,75,75,75,75,75,65,25,42
BQR,BQR,29.25,65.25,64.2,60.7,51.5,51.0,47.75,42.199999999999996,40.449999999999996,41.75,45.0,52.45,67.3,70.95,64.1,57.0,42.75,29.5,33.75
